unique_cell_id,num_spots,num_nuc_spots,num_cyto_spots,num_ts,num_foci,num_spots_ts,largest_ts,second_largest_ts,num_spots_foci,nuc_area,cyto_area,time,dex_conc,replica,fov,nas_location,h5_idx
200234,65,14,51,0,0,0,0,0,0,8552.0,16483.0,0,0.0,E,16,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200242,24,13,11,0,0,0,0,0,0,9186.0,10025.0,0,0.0,E,17,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200243,15,3,12,0,0,0,0,0,0,8183.0,11778.0,0,0.0,E,17,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200244,59,14,45,0,0,0,0,0,0,8132.0,17703.0,0,0.0,E,17,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200245,77,25,52,0,0,0,0,0,0,7910.0,15510.0,0,0.0,E,17,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200247,11,7,4,0,0,0,0,0,0,9098.0,12937.0,0,0.0,E,18,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200249,57,27,30,1,0,4,4,0,0,9049.0,11417.0,0,0.0,E,18,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200253,33,12,21,0,1,0,0,0,4,8308.0,14153.0,0,0.0,E,18,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200255,56,19,37,0,0,0,0,0,0,8071.0,16303.0,0,0.0,E,18,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200256,28,10,18,0,0,0,0,0,0,7999.0,11979.0,0,0.0,E,18,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200257,51,16,35,0,0,0,0,0,0,8520.0,12056.0,0,0.0,E,18,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
200258,42,14,28,0,0,0,0,0,0,8136.0,16691.0,0,0.0,E,19,smFISH_images/Eric_smFISH_images/20220420/DUSP1_100nM_Dex_R3_20220419_0min/DUSP1_100nM_Dex_R3_20220419_0min.h5,0
