cell_id,nuc_area,nucGRint,cytoGRint,time,dex_conc,replica,unique_cell_id,CalcCytoArea,normGRcyt,normGRnuc
2255,7875.0,3554.466838521971,1062.820522601683,120,100,C,13405,13887.593678503485,1,9
2264,7915.0,2550.223281270632,978.2023848485132,120,100,C,13412,13977.599287045658,0,4
2265,7891.0,2975.641389164123,1003.527949621805,120,100,C,13413,13923.55370811944,0,6
2266,7611.0,2731.471483960508,1020.7797807184054,120,100,C,13414,13302.37934651648,0,5
2267,8403.0,2919.94634052748,1034.763432021926,120,100,C,13415,15103.99317167442,0,6
2270,8244.0,2231.494382960525,956.9766876082704,120,100,C,13416,14731.241244505374,0,2
2271,7860.0,2736.4111771466837,1009.3092118701752,120,100,C,13417,13853.932269013076,0,5
2272,8302.0,3315.08961268058,1058.4179175666857,120,100,C,13418,14866.569665283556,1,8
2278,8064.0,2452.834994375619,1016.175802744187,120,100,C,13421,14315.96596753082,0,4
2295,7917.0,2929.789592275452,1050.0559071204991,120,100,C,13433,13982.108801741715,1,6
2296,7704.0,2594.2032537172804,1028.7707985757074,120,100,C,13434,13506.786150295155,0,4
2297,9249.0,2252.3104282030654,995.3905729325958,120,100,C,13435,17180.78203796548,0,2
2298,9519.0,3453.9608986698054,1064.7846826629784,120,100,C,13436,17876.711637198252,1,9
2299,8611.0,2954.167892820358,1045.0472237160748,120,100,C,13437,15600.010086100658,1,6
2300,7679.0,3000.140260294899,1044.5748626073023,120,100,C,13438,13451.651200748784,1,6
2301,8134.0,2218.557436392284,945.5648994565502,120,100,C,13439,14476.615433922707,0,2
2302,7615.0,2412.541049759422,1011.048349104532,120,100,C,13440,13311.13190129032,0,3
2306,9385.0,2878.30920092228,1062.4588616843296,120,100,C,13443,17529.320957980948,1,6
2312,9081.0,2201.7280644597736,999.275475522925,120,100,C,13445,16755.848395821064,0,2
2314,8324.0,2662.3472720037093,994.630946723439,120,100,C,13447,14918.094615154765,0,5
2315,9070.0,2701.0601762012943,1030.0030751199415,120,100,C,13448,16728.24181538974,0,5
2322,7882.0,2465.559232403692,1021.9412145892716,120,100,C,13453,13903.319265758751,0,4
2323,8076.0,2381.5138497316166,1012.7448756115616,120,100,C,13454,14343.429363540985,0,3
2326,8060.0,2864.735308891378,1004.2135564353456,120,100,C,13456,14306.818537827583,0,6
2327,7852.0,2703.586199255308,1010.4853581644072,120,100,C,13457,13835.999744731129,0,5
2329,7828.0,2607.5869633711613,1024.9561473199808,120,100,C,13458,13782.286599487119,0,4
2330,7877.0,3006.639799326275,1013.7692504496016,120,100,C,13459,13892.08560411583,0,6
2333,8548.0,3027.471082691018,1030.3844057647484,120,100,C,13462,15448.769967002063,0,7
2334,7795.0,2564.659755591488,957.4930733169292,120,100,C,13463,13708.63780644203,0,4
2335,8245.0,2703.131315906749,975.6215500853132,120,100,C,13464,14733.568227028409,0,5
2336,7566.0,3264.533630463412,1045.631316702919,120,100,C,13465,13204.155504870738,1,8
2340,7887.0,2137.0366420387395,967.8397029585688,120,100,C,13468,13914.558423990335,0,2
2342,9021.0,2447.692061556783,986.0565430939206,120,100,C,13470,16605.5902474271,0,4
2347,7602.0,2196.3441768770035,955.5781565051458,120,100,C,13475,13282.69896029281,0,2
2350,9149.0,2870.578474074875,1002.7551884823624,120,100,C,13478,16927.09781015497,0,6
2351,8481.0,2791.633979855119,1018.68967197279,120,100,C,13479,15288.884806403834,0,5
2355,7775.0,2473.357228410803,1002.8236770282326,120,100,C,13482,13664.118701973099,0,4
