cell_id,nuc_area,nucGRint,cytoGRint,time,Dex_conc,replica,CalcCytoArea,normGRnuc,normGRcyt
2128,8324,4426.964072,3448.244474,60,1,A,14605.04789,12,20
2129,8078,4089.134098,3563.094991,60,1,A,14050.60059,10,20
2130,9493,5458.787383,3664.913656,60,1,A,17473.81474,18,20
2131,8714,4106.638807,3561.994082,60,1,A,15519.14063,10,20
2132,9036,5208.9546,3786.126199,60,1,A,16306.28775,16,20
2133,9509,4502.604868,3055.688638,60,1,A,17515.76162,12,20
2134,8970,3921.236906,3073.476292,60,1,A,16142.55671,9,20
2135,7935,3816.51531,2698.550504,60,1,A,13736.16964,8,16
2136,8708,3561.778338,2624.287595,60,1,A,15504.75172,7,16
2137,7827,4487.347856,3581.546567,60,1,A,13502.53236,12,20
2138,7395,4465.341173,3866.605326,60,1,A,12600.98604,12,20
2139,8834,3906.312044,2874.933362,60,1,A,15809.05808,9,18
2140,8292,4493.197484,3687.98813,60,1,A,14531.95585,12,20
2141,9312,4434.120444,3085.414165,60,1,A,17004.3351,12,20
2142,8154,4626.481691,3082.121406,60,1,A,14220.06542,13,20
2143,9232,3343.642678,2799.516001,60,1,A,16799.78424,5,17
2144,8896,3557.249637,2971.906474,60,1,A,15960.44514,7,19
2145,8207,4357.382915,3217.070617,60,1,A,14339.21209,11,20
2146,9307,4497.127607,3257.054715,60,1,A,16991.49762,12,20
2147,9348,4659.018272,3981.393784,60,1,A,17096.97378,13,20
2148,8175,3741.19038,2772.747109,60,1,A,14267.17941,8,17
2149,9034,3839.209947,2884.928129,60,1,A,16301.3081,8,18
2150,7201,6221.435707,3760.186823,60,1,A,12213.30599,20,20
2151,7783,3666.624411,3008.990056,60,1,A,13408.29297,7,20
2152,8833,3662.020194,2862.911278,60,1,A,15806.62527,7,18
2153,7838,2959.216894,2833.781334,60,1,A,13526.1778,3,18
2154,9285,4510.379184,3292.233717,60,1,A,16935.09674,12,20
2155,8481,4926.882925,3631.20753,60,1,A,14967.85359,14,20
2156,7354,3547.766318,3251.476423,60,1,A,12518.1662,6,20
2157,9036,3948.406746,3067.468593,60,1,A,16306.28775,9,20
2158,8848,4069.233738,3073.587265,60,1,A,15843.14719,10,20
2159,9173,3974.312974,3011.619483,60,1,A,16650.0882,9,20
2160,8259,3900.65548,2873.990348,60,1,A,14456.88316,9,18
2161,8966,3578.645562,3037.171271,60,1,A,16132.67323,7,20
2162,9186,4428.061914,3495.427898,60,1,A,16682.98747,12,20
2163,9142,3337.897553,2632.597865,60,1,A,16571.82906,5,16
2164,9061,5543.729313,3559.242882,60,1,A,16368.62894,18,20
