time,exp1_s1,exp1_s2,exp2_s1,exp2_s2,exp3_s1,exp3_s2,exp4_s1,exp4_s2,exp5_s1,exp5_s2,exp6_s1,exp6_s2,exp7_s1,exp7_s2,exp8_s1,exp8_s2,exp9_s1,exp9_s2,exp10_s1,exp10_s2
20,2,74,3,99,2,67,1,110,1,104,2,107,2,109,3,59,3,114,1,90
20,2,109,1,96,1,89,2,107,3,114,3,150,2,91,3,141,1,89,2,95
20,2,88,2,155,3,137,3,100,3,103,2,128,2,86,3,175,3,115,2,132
20,3,165,1,109,1,87,1,130,3,75,2,141,1,77,2,90,2,86,3,109
20,2,84,2,132,2,106,2,131,3,117,2,79,2,126,3,127,3,138,2,89
20,3,135,1,124,3,90,2,96,1,90,3,123,2,97,1,130,1,95,2,137
20,3,102,2,97,2,146,2,165,2,98,3,95,3,162,3,129,2,128,2,79
20,1,73,3,88,1,120,2,79,2,72,2,120,3,109,3,108,3,158,2,125
20,2,101,1,38,3,110,1,79,2,102,2,89,2,139,3,72,2,113,2,120
20,2,121,3,133,3,160,3,98,1,108,2,112,1,106,2,86,2,82,1,74
20,1,132,2,90,1,86,2,77,2,110,1,101,1,73,3,121,2,75,2,124
20,1,99,3,74,2,80,2,100,1,76,3,122,1,100,2,125,3,137,2,85
20,2,150,3,115,2,68,3,135,2,132,1,39,3,145,1,116,2,137,3,137
20,1,86,3,146,1,75,3,110,1,84,2,84,2,69,2,120,1,56,3,111
20,1,95,3,98,2,144,3,125,2,77,2,125,1,78,2,122,2,65,3,176
20,2,115,2,113,1,100,3,110,2,65,2,153,2,108,3,167,1,58,2,91
20,2,148,3,113,2,132,2,88,2,100,3,112,3,77,2,116,2,91,2,93
20,2,73,2,60,1,120,1,111,1,43,3,90,2,88,2,136,2,121,2,120
20,3,131,3,145,2,106,2,167,1,51,2,106,2,130,1,91,3,88,2,122
20,2,90,1,61,1,96,2,95,2,124,2,56,2,120,2,140,2,104,1,159
20,2,126,2,61,1,64,2,111,3,189,3,84,2,112,3,128,2,72,3,151
20,2,80,3,127,2,114,2,58,1,109,3,76,3,140,2,104,2,79,2,98
20,2,64,2,93,1,121,2,141,2,93,3,172,2,107,2,124,2,47,1,106
20,1,108,1,89,3,99,3,113,3,106,2,89,1,118,2,110,3,129,3,132
20,1,82,2,140,3,132,1,53,2,67,2,131,2,141,2,68,1,41,2,151
20,3,112,2,99,2,68,3,158,3,118,2,94,2,118,3,151,1,62,2,107
20,2,98,2,118,3,99,2,128,3,182,3,118,2,137,3,153,2,117,2,108
20,2,88,3,134,2,89,2,55,3,133,2,85,2,129,1,132,2,133,2,92
20,1,101,3,178,1,158,3,93,3,166,3,125,1,101,3,92,2,129,2,84
20,1,66,2,127,2,100,2,135,2,121,3,107,2,94,2,164,3,127,3,103
20,2,129,3,102,2,166,2,72,2,125,1,67,3,118,3,97,3,106,3,123
20,3,90,2,136,2,111,3,120,2,100,2,64,2,136,2,94,2,73,2,119
20,2,84,3,164,2,102,2,101,1,112,2,118,2,134,3,109,1,87,3,157
20,2,140,1,118,2,138,3,97,3,91,2,101,3,138,1,82,3,152,3,110
20,2,119,2,122,2,110,2,67,2,63,3,166,1,100,2,125,3,101,2,83
20,3,152,2,88,2,95,3,148,2,140,2,99,3,135,2,105,3,117,2,61
20,2,142,3,107,2,89,2,130,2,89,2,90,2,143,2,103,3,64,3,111
20,2,135,1,84,1,88,2,66,3,95,1,120,3,116,3,86,2,92,2,119
20,3,85,1,84,2,92,3,91,2,68,2,87,2,103,2,108,2,165,2,109
20,2,137,1,86,2,103,3,99,2,48,2,106,3,123,2,108,1,32,2,82
20,2,104,2,62,2,111,3,147,1,90,3,138,3,115,1,61,2,102,3,107
20,3,105,2,164,2,139,3,84,2,120,2,79,3,135,1,115,2,79,3,140
20,2,88,3,153,2,124,3,114,3,114,2,90,3,103,2,108,3,116,2,115
20,2,104,1,33,2,155,3,147,2,132,3,125,1,82,2,93,2,91,1,55
20,3,139,1,44,3,64,2,125,2,154,2,109,3,90,1,59,3,139,1,68
20,1,133,3,93,1,110,2,107,2,123,2,129,2,118,2,85,1,101,2,155
20,3,103,3,99,2,123,2,112,1,119,2,54,2,147,2,144,3,112,2,109
20,2,130,2,131,2,119,3,91,2,96,2,77,2,120,2,128,2,43,2,128
20,2,179,2,117,3,135,1,113,2,130,1,80,2,95,2,66,3,125,2,107
20,1,104,3,110,2,81,1,100,1,90,1,127,2,134,2,84,3,121,2,88
20,2,43,1,115,1,92,2,83,2,129,3,166,1,85,2,84,2,102,3,124
20,3,159,2,118,2,115,1,76,2,97,3,123,1,80,2,108,1,145,2,64
20,2,94,3,92,2,150,3,106,2,101,3,166,2,132,1,133,2,74,3,128
20,1,99,2,48,1,91,3,159,1,70,2,101,3,181,1,128,2,66,2,71
20,2,96,3,132,2,126,2,95,2,140,2,84,2,56,3,155,1,76,2,118
20,2,91,3,153,3,146,2,94,2,80,3,102,3,187,1,107,1,110,1,122
20,1,67,2,99,2,102,3,169,2,114,2,122,3,142,1,57,3,118,2,73
20,2,87,1,92,3,120,1,49,2,58,3,111,2,98,3,98,1,112,1,65
20,2,87,2,93,2,102,2,127,3,106,3,148,1,133,2,88,3,138,3,165
20,2,124,3,176,3,114,3,110,2,80,2,95,1,99,3,145,1,93,3,143
20,2,100,3,91,2,80,1,131,2,53,1,103,2,127,2,69,1,119,3,89
20,1,82,2,132,3,143,3,127,1,30,2,87,3,88,2,66,3,163,1,75
20,3,144,2,97,1,78,2,91,3,161,2,102,1,99,3,115,3,97,2,151
20,2,107,2,144,3,81,2,95,1,72,1,148,3,85,3,92,2,97,2,108
20,2,121,3,128,2,95,2,102,2,77,2,124,2,106,3,169,1,63,2,95
20,3,78,2,122,3,56,2,84,2,60,2,119,2,90,2,64,2,97,3,119
20,3,106,2,27,3,120,2,117,3,143,1,73,1,66,3,86,3,141,1,99
20,2,138,2,74,2,131,2,71,2,57,2,123,2,72,2,92,2,124,3,184
30,2,123,2,134,2,138,1,84,1,99,3,112,2,103,1,127,1,133,3,133
30,1,63,3,125,2,98,2,76,1,50,3,120,2,142,2,77,2,83,1,60
30,3,119,2,106,1,63,3,68,2,128,3,108,2,107,1,84,2,84,2,103
30,2,128,2,108,2,97,2,156,1,73,1,77,1,84,3,131,1,100,2,121
30,3,141,2,99,2,101,2,47,1,96,1,105,2,73,3,141,1,99,2,111
30,2,74,1,123,2,136,2,79,2,100,2,68,3,155,1,135,2,60,3,67
30,1,118,3,167,3,194,3,113,1,123,2,74,2,120,1,116,2,129,2,124
30,2,130,1,109,2,84,3,145,3,124,3,112,1,64,2,79,2,122,2,96
30,1,24,2,136,1,101,3,113,2,154,3,127,2,82,3,113,2,114,3,154
30,1,163,3,174,3,117,2,122,2,120,1,90,2,100,2,136,3,131,2,109
30,2,79,2,142,2,120,2,117,3,125,2,166,2,83,2,54,3,108,1,93
30,2,122,2,156,2,134,2,95,1,101,3,79,1,94,3,97,3,127,3,140
30,2,92,2,70,1,88,2,111,2,108,2,161,3,115,2,102,3,129,3,126
30,2,146,2,102,1,85,2,94,1,101,2,110,2,116,2,84,2,129,2,127
30,1,46,2,109,1,61,2,118,2,138,2,173,2,90,2,141,2,82,3,147
30,3,125,3,129,2,133,2,116,2,131,2,188,3,111,3,108,2,111,3,72
30,1,103,3,83,2,117,2,101,3,126,3,121,2,121,2,98,1,67,2,117
