0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,60min
0,1,0,NaN,0,0,38,42,200,NaN,74,126,45,NaN,16,5,2
0,1,0,NaN,8,31,1,35,107,NaN,102,21,106,NaN,112,36,5
0,0,0,NaN,0,21,18,42,110,NaN,71,123,46,NaN,8,67,0
0,3,0,NaN,0,1,20,41,14,NaN,114,60,133,NaN,39,13,30
0,0,0,NaN,0,2,26,55,33,NaN,115,25,16,NaN,18,36,10
1,3,1,NaN,1,1,14,48,12,NaN,13,120,181,NaN,39,44,17
1,1,0,NaN,20,13,23,52,60,NaN,60,134,75,NaN,59,16,21
0,1,0,NaN,0,16,0,95,152,NaN,112,62,106,NaN,52,91,2
0,0,0,NaN,3,10,0,14,89,NaN,79,21,104,NaN,13,0,26
0,0,2,NaN,0,3,25,54,11,NaN,124,69,122,NaN,87,11,6
0,0,0,NaN,1,3,0,76,21,NaN,86,102,115,NaN,0,0,29
0,1,0,NaN,16,11,0,12,170,NaN,101,93,0,NaN,13,1,12
0,0,22,NaN,1,22,20,43,71,NaN,121,99,157,NaN,2,19,0
0,0,31,NaN,1,0,25,34,60,NaN,71,21,25,NaN,52,4,10
0,0,0,NaN,0,12,20,30,23,NaN,57,21,56,NaN,15,35,63
1,0,0,NaN,1,2,1,56,107,NaN,14,61,106,NaN,14,0,0
0,0,0,NaN,0,13,1,45,26,NaN,61,56,74,NaN,75,16,0
0,2,0,NaN,1,2,4,9,172,NaN,89,26,19,NaN,22,13,7
0,1,0,NaN,1,16,25,41,25,NaN,0,45,38,NaN,95,0,9
0,0,0,NaN,1,19,0,26,54,NaN,7,45,140,NaN,52,15,64
0,0,0,NaN,1,0,53,46,26,NaN,55,40,53,NaN,1,0,1
0,0,8,NaN,0,14,0,50,102,NaN,15,60,40,NaN,40,21,18
1,0,1,NaN,0,5,0,28,14,NaN,75,33,64,NaN,78,17,0
0,0,0,NaN,10,1,31,35,56,NaN,75,95,57,NaN,69,93,30
0,0,0,NaN,14,0,22,50,82,NaN,82,98,76,NaN,0,30,1
0,0,0,NaN,1,0,8,21,144,NaN,117,102,23,NaN,9,9,49
0,1,0,NaN,0,1,17,41,182,NaN,99,40,24,NaN,22,0,14
2,2,0,NaN,6,NaN,31,43,29,NaN,95,69,47,NaN,105,0,5
0,1,0,NaN,0,NaN,40,31,89,NaN,34,46,187,NaN,1,0,35
0,1,0,NaN,0,NaN,0,0,34,NaN,46,6,30,NaN,92,11,16
0,0,0,NaN,1,NaN,1,9,49,NaN,22,91,59,NaN,19,0,35
0,2,0,NaN,1,NaN,49,35,100,NaN,63,68,68,NaN,10,0,28
0,0,0,NaN,0,NaN,24,34,32,NaN,126,18,162,NaN,218,0,78
0,0,1,NaN,1,NaN,23,0,100,NaN,65,62,63,NaN,56,0,28
0,1,0,NaN,0,NaN,7,47,38,NaN,39,9,35,NaN,5,2,0
0,4,0,NaN,0,NaN,5,16,102,NaN,32,67,58,NaN,21,0,4
0,2,0,NaN,0,NaN,22,76,38,NaN,65,49,67,NaN,9,2,7
1,3,0,NaN,0,NaN,35,16,110,NaN,96,94,33,NaN,0,0,30
0,0,0,NaN,1,NaN,1,11,118,NaN,105,15,84,NaN,49,0,25
0,0,0,NaN,9,NaN,0,27,55,NaN,43,84,227,NaN,133,2,5
0,0,0,NaN,1,NaN,59,45,50,NaN,81,98,131,NaN,62,85,53
5,0,0,NaN,3,NaN,11,39,50,NaN,91,38,75,NaN,92,68,4
1,1,0,NaN,1,NaN,14,44,68,NaN,70,120,12,NaN,114,8,5
1,1,0,NaN,37,NaN,22,53,151,NaN,129,27,45,NaN,107,49,10
0,1,0,NaN,8,NaN,17,1,76,NaN,76,84,49,NaN,51,54,13
0,1,0,NaN,0,NaN,6,47,79,NaN,105,83,34,NaN,6,8,1
0,0,0,NaN,0,NaN,8,0,38,NaN,81,25,42,NaN,21,27,8
0,0,0,NaN,19,NaN,19,21,39,NaN,115,83,43,NaN,7,8,31
0,0,8,NaN,13,NaN,61,22,84,NaN,109,47,107,NaN,41,1,12
1,1,0,NaN,4,NaN,16,32,51,NaN,41,43,29,NaN,139,61,79
0,0,2,NaN,0,NaN,2,18,16,NaN,136,21,54,NaN,70,13,10
0,0,0,NaN,0,NaN,18,56,114,NaN,52,19,128,NaN,16,5,11
0,2,7,NaN,0,NaN,27,73,58,NaN,80,52,26,NaN,114,2,0
0,0,0,NaN,0,NaN,20,34,71,NaN,75,80,94,NaN,5,6,12
1,0,0,NaN,0,NaN,39,13,57,NaN,48,66,89,NaN,112,10,5
0,0,NaN,NaN,2,NaN,26,NaN,73,NaN,129,16,73,NaN,0,47,2
7,0,NaN,NaN,0,NaN,35,NaN,83,NaN,109,29,91,NaN,38,0,13
2,0,NaN,NaN,1,NaN,0,NaN,160,NaN,58,21,128,NaN,1,103,23
0,0,NaN,NaN,9,NaN,15,NaN,76,NaN,145,12,94,NaN,25,11,7
1,4,NaN,NaN,2,NaN,0,NaN,57,NaN,0,46,38,NaN,52,6,19
0,0,NaN,NaN,11,NaN,24,NaN,60,NaN,62,130,61,NaN,46,30,0
0,0,NaN,NaN,1,NaN,43,NaN,63,NaN,97,91,0,NaN,41,58,4
0,0,NaN,NaN,0,NaN,8,NaN,39,NaN,111,100,91,NaN,2,43,18
