0min,NaNmin,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,NaNmin
0,NaN,0,0,17,14,0,12,117,108,57,34,105,34,3,21,NaN
0,NaN,0,0,0,13,43,33,53,9,29,33,21,2,2,8,NaN
0,NaN,0,0,0,15,5,41,23,119,10,5,72,25,0,11,NaN
0,NaN,1,0,1,25,6,68,45,108,66,6,65,2,0,0,NaN
0,NaN,1,0,4,6,17,17,55,48,22,1,66,0,7,28,NaN
1,NaN,83,0,8,0,44,68,72,16,23,97,126,38,2,4,NaN
0,NaN,17,0,6,18,1,9,40,103,33,123,17,1,3,48,NaN
0,NaN,1,0,0,37,0,39,36,130,59,21,157,34,2,5,NaN
0,NaN,0,0,0,44,8,97,62,17,10,28,38,8,6,6,NaN
0,NaN,0,0,0,11,26,61,96,15,16,19,14,0,17,23,NaN
6,NaN,1,1,0,26,5,104,33,16,182,61,10,80,0,8,NaN
0,NaN,39,0,0,12,47,19,63,132,43,15,12,10,29,19,NaN
0,NaN,0,0,3,2,21,17,136,22,23,108,33,5,6,0,NaN
0,NaN,0,0,0,0,56,5,50,134,0,77,44,53,0,1,NaN
0,NaN,0,0,1,32,46,14,101,65,8,61,10,15,18,24,NaN
1,NaN,0,0,8,0,1,35,101,0,53,45,44,0,3,2,NaN
0,NaN,0,0,21,25,22,60,18,28,98,93,20,30,5,0,NaN
0,NaN,2,0,0,3,59,25,58,21,57,6,55,102,15,1,NaN
0,NaN,2,0,1,6,43,13,234,48,114,29,56,0,1,2,NaN
0,NaN,0,0,6,1,26,81,119,149,77,46,75,20,53,19,NaN
0,NaN,0,1,0,21,30,92,129,32,28,1,2,69,4,0,NaN
0,NaN,0,0,0,48,26,12,94,48,46,42,30,21,1,20,NaN
0,NaN,1,0,1,13,15,46,154,15,64,57,23,2,12,3,NaN
0,NaN,0,0,0,6,53,67,70,164,35,133,9,6,25,1,NaN
0,NaN,2,1,2,5,20,22,58,103,127,6,85,69,61,17,NaN
0,NaN,0,0,0,3,8,46,47,112,13,63,22,63,6,10,NaN
0,NaN,0,0,0,0,32,37,28,140,52,108,3,7,0,2,NaN
1,NaN,1,2,3,22,33,80,152,80,38,37,98,24,1,0,NaN
