0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,NaNmin
0,0,0,2,0,0,31,30,34,7,3,3,2,22,16,6,NaN
0,0,0,1,0,20,38,5,0,14,19,0,19,20,0,25,NaN
0,0,1,0,1,8,0,38,35,9,0,0,8,3,8,2,NaN
0,1,1,0,0,1,29,38,7,7,0,3,10,2,0,14,NaN
1,10,8,1,0,28,19,40,24,18,23,6,2,3,1,1,NaN
1,0,1,0,0,13,24,15,12,2,15,0,1,0,1,16,NaN
0,0,0,1,1,7,5,0,12,15,4,0,1,6,1,0,NaN
0,0,0,0,0,1,3,0,4,17,11,8,0,0,3,2,NaN
0,0,0,1,0,4,30,49,13,30,0,0,3,1,18,5,NaN
0,0,0,0,0,11,4,0,23,0,7,4,39,0,0,7,NaN
0,1,1,0,0,19,36,36,45,6,0,8,6,23,3,25,NaN
0,1,0,1,0,0,39,6,28,13,3,14,3,1,7,0,NaN
1,1,0,1,0,31,38,3,19,9,30,3,2,0,3,0,NaN
0,0,0,3,0,6,14,0,12,9,3,8,2,10,2,13,NaN
0,0,0,4,0,29,0,69,19,0,6,0,5,3,24,7,NaN
0,0,0,0,0,10,42,6,11,18,5,12,1,2,1,0,NaN
0,2,0,0,0,1,60,23,1,1,65,0,1,0,0,1,NaN
11,0,0,3,0,1,2,34,6,30,9,0,5,9,1,0,NaN
0,0,0,0,0,6,2,27,14,25,0,4,2,4,0,21,NaN
0,0,0,0,0,30,1,4,6,0,3,1,1,0,1,1,NaN
0,1,0,0,0,0,9,21,38,1,1,7,3,7,10,17,NaN
0,0,1,3,0,28,16,9,3,26,6,2,1,5,29,11,NaN
0,0,1,0,0,0,1,15,28,7,1,0,54,1,118,0,NaN
0,0,0,3,0,72,0,3,41,31,14,3,1,1,19,2,NaN
0,1,0,1,1,20,0,2,3,9,4,8,0,2,5,2,NaN
0,0,0,0,1,16,13,50,29,1,7,0,0,11,17,4,NaN
0,1,0,0,0,13,0,38,0,0,14,2,0,6,3,6,NaN
0,0,0,1,0,13,14,15,0,51,20,0,4,30,6,11,NaN
0,0,1,1,0,31,25,40,34,9,59,1,11,17,15,1,NaN
0,0,2,1,0,0,47,15,14,24,5,8,5,3,0,34,NaN
0,0,0,0,0,16,56,6,52,0,1,1,12,0,0,10,NaN
1,0,1,0,0,17,14,24,56,1,13,17,3,3,5,4,NaN
2,0,0,0,0,1,1,11,1,15,1,5,5,4,5,2,NaN
0,1,0,0,0,17,3,0,15,1,36,15,2,27,0,9,NaN
0,0,0,2,0,44,0,14,23,9,2,8,17,0,0,14,NaN
0,0,0,3,0,0,23,7,12,43,5,0,1,10,0,0,NaN
0,1,0,0,0,46,2,0,0,12,24,21,1,0,0,16,NaN
0,0,0,0,0,0,24,1,17,14,10,2,0,2,0,1,NaN
1,0,1,0,0,38,6,29,20,2,9,0,6,3,1,2,NaN
0,0,0,2,0,9,12,0,11,20,11,2,21,3,0,9,NaN
0,0,0,0,0,0,1,5,61,1,2,2,4,1,0,1,NaN
3,0,0,1,0,50,11,71,32,0,20,5,5,0,1,0,NaN
0,0,0,0,0,1,46,17,16,7,1,0,0,27,1,11,NaN
0,3,0,1,0,1,0,50,88,0,9,9,0,0,0,8,NaN
0,1,1,0,0,30,1,38,28,14,2,4,0,18,4,0,NaN
0,0,0,1,0,22,7,7,2,24,30,21,7,12,2,0,NaN
0,1,0,0,0,4,10,0,58,6,0,0,8,0,0,1,NaN
0,0,0,0,0,18,2,6,19,39,14,19,2,23,55,0,NaN
0,0,1,0,0,16,19,22,11,31,3,6,0,3,1,0,NaN
0,1,0,0,0,2,0,20,0,10,17,4,1,17,1,0,NaN
1,0,0,0,0,7,18,38,39,14,20,1,1,0,3,2,NaN
0,1,5,1,0,14,20,7,46,10,9,3,0,19,5,3,NaN
0,0,0,0,0,17,33,15,73,4,25,0,0,3,0,2,NaN
0,1,2,0,0,13,10,40,2,17,3,5,1,14,1,0,NaN
1,0,0,0,0,27,44,5,68,8,15,4,1,3,23,4,NaN
