0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,60min
0,0,0,NaN,0,6,3,44,1,NaN,19,18,8,NaN,0,0,0
0,0,0,NaN,0,0,17,16,129,NaN,34,5,0,NaN,0,0,0
0,0,0,NaN,0,1,27,0,34,NaN,0,1,7,NaN,0,0,0
0,0,0,NaN,9,1,0,46,26,NaN,13,3,7,NaN,1,4,0
0,0,0,NaN,1,2,13,51,36,NaN,55,8,4,NaN,0,0,0
0,0,0,NaN,0,0,4,0,96,NaN,13,5,9,NaN,0,10,0
0,0,0,NaN,0,1,28,53,24,NaN,36,11,3,NaN,1,1,0
0,0,0,NaN,1,0,13,37,12,NaN,40,23,7,NaN,0,0,0
0,0,0,NaN,0,0,27,60,69,NaN,48,13,1,NaN,0,0,0
0,0,0,NaN,1,0,2,0,80,NaN,65,8,8,NaN,0,0,0
0,0,0,NaN,0,8,3,28,108,NaN,73,7,5,NaN,0,0,0
0,0,0,NaN,7,NaN,15,33,33,NaN,22,0,7,NaN,0,0,0
0,0,0,NaN,2,NaN,19,31,58,NaN,8,6,5,NaN,0,0,0
0,0,0,NaN,0,NaN,0,1,34,NaN,6,2,0,NaN,0,0,0
0,0,0,NaN,0,NaN,1,13,33,NaN,16,9,2,NaN,0,0,0
0,0,0,NaN,0,NaN,25,2,47,NaN,32,14,10,NaN,1,0,1
0,0,0,NaN,0,NaN,3,38,20,NaN,70,0,6,NaN,0,0,0
0,0,0,NaN,2,NaN,22,0,98,NaN,65,4,7,NaN,0,0,0
0,0,0,NaN,2,NaN,0,18,0,NaN,13,1,4,NaN,0,0,0
0,0,0,NaN,0,NaN,19,25,66,NaN,0,1,5,NaN,0,0,0
0,0,0,NaN,0,NaN,29,37,39,NaN,0,11,3,NaN,0,0,0
0,0,0,NaN,5,NaN,7,0,73,NaN,59,15,4,NaN,0,0,0
0,0,0,NaN,7,NaN,20,5,48,NaN,74,12,1,NaN,0,0,0
0,0,0,NaN,6,NaN,1,18,38,NaN,48,8,9,NaN,0,0,0
0,0,0,NaN,0,NaN,16,19,55,NaN,1,31,11,NaN,3,0,0
0,0,0,NaN,0,NaN,14,27,11,NaN,89,9,1,NaN,0,0,0
0,0,0,NaN,0,NaN,5,46,43,NaN,37,9,2,NaN,0,0,0
0,0,0,NaN,1,NaN,23,66,112,NaN,58,5,1,NaN,0,0,0
