CellNum,number_spots_type_0,number_spots_type_1,number_spots_type_0_only,number_spots_type_1_only,number_spots_type_0_1_both,nDoubleSpots0,nDoubleSpots1,total_spots,numberTS0,numberTS1,tsIntensities0_1,tsIntensities0_2,tsIntensities0_3,tsIntensities0_4,tsIntensities1_1,tsIntensities1_2,tsIntensities1_3,tsIntensities1_4,time,sumNascent
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
20,42,0,42,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,18,0
21,199,241,85,124,114,0,8,323,0,0,0,0,0,0,0,0,0,0,18,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
26,28,0,28,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,18,0
27,139,391,54,307,84,0,2,445,0,0,0,0,0,0,0,0,0,0,18,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
29,101,0,101,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,18,0
30,125,254,76,202,49,0,6,327,0,0,0,0,0,0,0,0,0,0,18,0
31,128,224,68,164,60,2,6,292,0,0,0,0,0,0,0,0,0,0,18,0
32,105,84,46,26,58,0,0,130,0,0,0,0,0,0,0,0,0,0,18,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
35,205,0,205,0,0,4,0,205,0,0,0,0,0,0,0,0,0,0,18,0
36,372,265,251,144,121,10,6,516,0,1,0,0,0,0,5,0,0,0,18,5
37,163,117,125,77,38,0,2,240,0,0,0,0,0,0,0,0,0,0,18,0
38,173,118,140,85,33,0,2,258,0,0,0,0,0,0,0,0,0,0,18,0
39,328,296,156,125,171,6,10,452,0,0,0,0,0,0,0,0,0,0,18,0
40,251,212,132,93,119,2,6,344,0,1,0,0,0,0,10,0,0,0,18,10
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
42,269,255,132,119,136,0,2,387,0,0,0,0,0,0,0,0,0,0,18,0
43,0,155,0,155,0,0,0,155,0,0,0,0,0,0,0,0,0,0,18,0
44,229,230,129,128,100,2,6,357,0,0,0,0,0,0,0,0,0,0,18,0
45,20,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,18,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
47,424,390,244,202,180,8,8,626,0,0,0,0,0,0,0,0,0,0,18,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
49,166,109,119,62,47,0,2,228,0,0,0,0,0,0,0,0,0,0,18,0
50,54,0,54,0,0,2,0,54,1,0,5,0,0,0,0,0,0,0,18,5
51,41,30,39,28,2,0,0,69,0,0,0,0,0,0,0,0,0,0,18,0
52,218,222,106,111,111,4,2,328,0,0,0,0,0,0,0,0,0,0,18,0
53,253,191,135,75,116,2,0,326,0,0,0,0,0,0,0,0,0,0,18,0
54,104,76,56,27,48,2,2,131,0,0,0,0,0,0,0,0,0,0,18,0
55,104,0,104,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,18,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
57,184,167,96,78,88,0,4,262,0,0,0,0,0,0,0,0,0,0,18,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
59,68,52,51,35,17,0,2,103,0,0,0,0,0,0,0,0,0,0,18,0
60,149,145,93,90,55,4,12,238,0,0,0,0,0,0,0,0,0,0,18,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
63,175,152,87,65,87,4,0,239,0,0,0,0,0,0,0,0,0,0,18,0
64,224,195,111,84,111,6,2,306,0,0,0,0,0,0,0,0,0,0,18,0
65,201,218,95,111,106,4,8,312,0,0,0,0,0,0,0,0,0,0,18,0
66,136,147,68,79,68,2,0,215,0,0,0,0,0,0,0,0,0,0,18,0
67,149,159,83,93,66,0,0,242,0,0,0,0,0,0,0,0,0,0,18,0
68,146,183,86,121,60,2,2,267,0,0,0,0,0,0,0,0,0,0,18,0
69,204,201,118,115,86,2,0,319,0,0,0,0,0,0,0,0,0,0,18,0
70,128,150,72,93,56,0,0,221,0,0,0,0,0,0,0,0,0,0,18,0
71,30,0,30,0,0,2,0,30,0,0,0,0,0,0,0,0,0,0,18,0
72,41,36,39,34,2,0,0,75,0,0,0,0,0,0,0,0,0,0,18,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
74,13,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,18,0
75,266,68,253,55,13,0,0,321,0,0,0,0,0,0,0,0,0,0,18,0
76,512,413,305,201,207,10,10,713,0,0,0,0,0,0,0,0,0,0,18,0
77,153,170,69,86,84,0,2,239,0,0,0,0,0,0,0,0,0,0,18,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
79,180,177,89,86,91,2,2,266,0,0,0,0,0,0,0,0,0,0,18,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
81,418,385,232,198,186,6,4,616,0,0,0,0,0,0,0,0,0,0,18,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
83,407,397,185,174,222,2,6,581,0,0,0,0,0,0,0,0,0,0,18,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
85,370,374,195,199,175,4,10,569,0,0,0,0,0,0,0,0,0,0,18,0
86,421,362,202,144,218,4,2,564,0,0,0,0,0,0,0,0,0,0,18,0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
89,448,407,283,246,161,8,4,690,0,0,0,0,0,0,0,0,0,0,18,0
90,204,126,172,92,32,0,2,296,0,0,0,0,0,0,0,0,0,0,18,0
91,198,122,147,71,51,2,2,269,0,0,0,0,0,0,0,0,0,0,18,0
92,189,114,152,77,37,4,0,266,0,0,0,0,0,0,0,0,0,0,18,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
95,0,240,0,240,0,0,10,240,0,0,0,0,0,0,0,0,0,0,18,0
96,218,163,123,68,95,0,0,286,0,0,0,0,0,0,0,0,0,0,18,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
