unique_cell_id,num_spots,num_nuc_spots,num_cyto_spots,num_ts,num_foci,num_spots_ts,largest_ts,second_largest_ts,num_spots_foci,nuc_area,cyto_area,time,dex_conc,replica,fov,nas_location,h5_idx
200081,34,14,20,0,0,0,0,0,0,7805.0,13826.0,40,100,E,6,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200082,50,15,35,0,0,0,0,0,0,7222.0,14955.0,40,100,E,6,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200083,127,51,76,1,0,4,4,0,0,6504.0,11956.0,40,100,E,6,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200085,189,77,112,1,0,4,4,0,0,6502.0,9556.0,40,100,E,6,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200086,52,24,28,0,0,0,0,0,0,8179.0,14566.0,40,100,E,6,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200088,124,62,62,0,0,0,0,0,0,8285.0,11576.0,40,100,E,6,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200092,105,40,65,0,0,0,0,0,0,9506.0,26946.0,40,100,E,7,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200093,91,31,60,0,0,0,0,0,0,12655.0,22850.0,40,100,E,7,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200094,160,64,96,1,0,4,4,0,0,9033.0,17299.0,40,100,E,7,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200095,212,87,125,1,1,4,4,0,4,8875.0,19834.0,40,100,E,7,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
