Cell_id,time,Dex_Conc,normgrnuc,normgrcyt
2121,180,10,9,1
1725,75,10,6,2
2904,150,100,4,3
2173,0,1,1,6
1714,50,10,9,4
7125,10,100,5,1
6562,30,10,15,4
265,0,10,4,12
551,30,1,4,8
3094,180,100,9,3
1382,10,10,3,6
5979,75,1,2,6
3284,0,10,2,7
6149,180,1,10,9
3128,180,100,3,1
5195,75,100,5,0
7656,180,100,3,0
2935,150,100,7,2
4665,180,10,4,2
6885,180,10,5,1
4393,50,10,4,3
7258,30,100,9,2
5327,180,100,5,1
377,10,1,4,11
2323,10,100,14,4
907,150,1,9,13
4834,30,100,10,4
1861,75,10,8,2
5217,180,100,6,2
7089,10,100,3,0
6691,50,10,7,3
5359,0,1,4,8
42,0,10,3,9
3724,50,1,4,9
1114,180,1,5,6
1035,180,1,10,11
2384,10,100,10,3
6621,50,10,7,2
2330,10,100,9,3
5229,180,100,8,2
7489,75,100,3,1
6611,50,10,15,4
5890,50,1,2,7
5886,50,1,1,5
5241,180,100,9,3
3480,30,1,2,9
7492,75,100,8,1
1846,75,10,7,2
3349,10,1,3,9
3064,180,100,5,2
7308,30,100,6,2
6430,30,10,11,5
4149,10,10,2,6
1212,0,10,3,11
2523,30,100,4,3
2885,75,100,9,2
4493,75,10,7,2
7124,10,100,6,1
2611,50,100,15,6
1588,30,10,13,8
7202,30,100,8,1
5849,50,1,1,6
412,10,1,2,9
5100,75,100,6,1
4747,10,100,9,2
6357,10,10,8,8
2598,50,100,15,5
5279,180,100,7,3
4715,10,100,6,2
1494,30,10,9,9
6466,30,10,15,9
2723,50,100,11,3
646,50,1,3,9
7003,180,10,2,1
5596,10,1,3,8
95,0,100,2,9
5752,30,1,4,7
4263,30,10,7,4
6682,50,10,4,1
2209,0,10,3,11
6177,180,1,3,4
5902,50,1,3,8
3392,10,1,3,11
6544,30,10,6,2
4030,180,1,7,9
3131,180,100,8,2
2601,50,100,9,3
1898,150,10,10,3
4924,30,100,10,2
7206,30,100,4,0
3274,0,1,3,11
3102,180,100,7,2
1186,0,10,3,10
1063,180,1,3,7
1166,0,1,7,15
4297,50,10,9,4
4991,50,100,10,1
7370,50,100,1,0
80,0,1,3,11
7132,10,100,1,0
4102,10,10,3,6
71,0,1,3,9
805,75,1,6,13
506,30,1,3,8
2569,30,100,11,3
989,150,1,4,5
391,10,1,3,11
7394,50,100,4,0
4475,75,10,4,3
6434,30,10,11,5
2063,180,10,5,1
6580,30,10,6,3
566,30,1,2,6
4836,30,100,9,2
165,0,1,1,7
1636,50,10,12,6
7289,30,100,4,0
6241,180,1,5,5
5429,0,10,1,7
1228,0,10,2,9
1066,180,1,10,11
5412,0,1,1,5
7143,10,100,5,1
6503,30,10,12,6
4292,30,10,6,5
2489,30,100,8,2
2461,30,100,11,4
3652,50,1,3,7
1971,150,10,14,6
7663,180,100,4,0
7108,10,100,7,1
7145,10,100,7,1
7573,75,100,3,1
6519,30,10,7,4
3072,180,100,7,3
4492,75,10,9,3
1633,50,10,7,5
5904,50,1,2,6
4506,75,10,1,0
4272,30,10,3,2
2626,50,100,12,6
5527,10,1,3,9
2513,30,100,13,4
2791,75,100,9,3
6379,10,10,3,4
7674,180,100,4,0
1,0,10,2,8
3538,30,1,3,9
1924,150,10,5,1
4508,75,10,4,2
511,30,1,3,8
3925,75,1,1,6
1014,180,1,8,8
4754,10,100,5,1
1747,75,10,11,3
5488,10,1,1,9
174,0,100,4,14
4068,10,10,2,6
6942,180,10,6,1
1039,180,1,4,7
5207,180,100,6,3
671,50,1,4,9
2563,30,100,9,2
597,50,1,2,6
4355,50,10,5,3
1902,150,10,14,3
6395,10,10,8,7
2226,0,100,0,5
5243,180,100,5,2
2046,180,10,9,4
4003,180,1,7,11
5776,50,1,2,5
6355,10,10,4,6
4663,180,10,6,1
3394,10,1,7,8
1433,10,10,6,9
6747,75,10,15,3
7155,10,100,8,1
2321,10,100,8,4
6108,180,1,3,4
2755,75,100,6,1
6208,180,1,4,6
4521,75,10,12,4
7623,180,100,5,1
5965,75,1,5,9
4283,30,10,8,5
703,50,1,1,5
5027,50,100,6,1
1923,150,10,11,2
6146,180,1,7,9
5471,0,10,3,10
967,150,1,6,8
6975,180,10,3,1
6230,180,1,4,6
5793,50,1,1,4
166,0,1,1,9
3228,0,10,4,13
321,10,1,2,9
7518,75,100,3,0
3325,0,10,6,14
4670,180,10,4,1
4571,180,10,9,2
6305,10,10,8,9
1263,0,100,5,15
6185,180,1,5,4
93,0,1,3,9
5627,10,1,2,9
6805,75,10,9,2
63,0,100,2,8
2028,180,10,6,1
2390,10,100,9,3
23,0,10,1,8
4864,30,100,12,3
496,30,1,4,10
2716,50,100,9,3
3697,50,1,3,10
6421,10,10,5,7
652,50,1,1,7
7188,30,100,8,1
5836,50,1,0,3
1469,30,10,7,8
4761,10,100,6,2
24,0,1,1,8
2021,180,10,9,2
1323,10,10,11,12
6381,10,10,3,8
6464,30,10,12,8
5003,50,100,14,2
3170,180,100,9,3
6344,10,10,3,5
6093,75,1,3,7
2927,150,100,8,3
6792,75,10,15,5
4826,30,100,7,1
4418,50,10,5,3
4778,10,100,7,2
6192,180,1,7,6
5830,50,1,2,6
874,150,1,7,8
3637,50,1,4,11
7073,10,100,9,2
3638,50,1,4,11
548,30,1,5,11
6427,30,10,15,6
932,150,1,7,11
6741,75,10,11,4
5271,180,100,6,2
2381,10,100,9,3
313,10,1,4,8
1452,10,10,7,9
372,10,1,1,8
6576,30,10,9,4
892,150,1,5,8
4069,10,10,2,6
716,50,1,2,7
7648,180,100,3,0
282,0,1,2,9
769,75,1,9,15
3774,50,1,5,10
5561,10,1,3,9
4300,50,10,10,5
2458,30,100,14,5
4936,30,100,8,2
1193,0,100,3,8
799,75,1,6,13
4854,30,100,6,1
2443,10,100,12,6
4748,10,100,4,1
400,10,1,1,7
1486,30,10,10,7
4421,50,10,6,3
2490,30,100,8,3
7204,30,100,5,2
6049,75,1,2,5
3458,10,1,2,10
2302,10,100,13,5
6891,180,10,2,0
9,0,10,2,7
2178,0,100,0,5
2285,0,1,1,8
572,30,1,4,13
414,10,1,1,10
3414,10,1,5,13
2101,180,10,11,3
5233,180,100,4,1
6260,180,1,10,8
1809,75,10,7,3
2013,180,10,10,2
7690,180,100,2,0
7445,75,100,4,0
5523,10,1,3,13
5088,50,100,12,3
3432,10,1,2,7
3402,10,1,4,12
3919,75,1,1,6
2562,30,100,7,2
1171,0,1,6,15
4958,50,100,15,3
5697,30,1,2,7
785,75,1,3,8
7483,75,100,6,2
614,50,1,1,6
4073,10,10,2,5
2369,10,100,9,2
6328,10,10,6,8
6782,75,10,8,2
5306,180,100,7,3
4904,30,100,11,2
1711,50,10,8,5
1804,75,10,9,3
2478,30,100,13,3
3808,75,1,4,8
5315,180,100,6,2
872,150,1,8,10
1101,180,1,6,5
1932,150,10,5,1
1862,150,10,8,1
1149,180,1,4,6
2768,75,100,5,1
5055,50,100,10,2
4125,10,10,3,6
810,75,1,5,11
7671,180,100,2,0
6848,75,10,15,4
2811,75,100,10,2
905,150,1,11,15
278,0,1,3,8
2531,30,100,15,3
6405,10,10,8,8
5220,180,100,3,0
4274,30,10,5,4
2447,10,100,7,2
7035,10,100,5,1
6736,75,10,9,3
3126,180,100,4,1
1578,30,10,11,7
4443,75,10,6,2
4392,50,10,4,3
4600,180,10,7,2
7548,75,100,8,1
3977,180,1,7,9
6764,75,10,11,3
2427,10,100,8,3
3175,180,100,3,2
5783,50,1,1,2
2994,150,100,6,2
5021,50,100,5,1
4396,50,10,5,3
1816,75,10,10,3
1396,10,10,7,15
6446,30,10,7,4
4995,50,100,12,2
2195,0,10,2,8
2968,150,100,6,2
6678,50,10,11,6
3192,0,1,6,15
116,0,1,4,10
7116,10,100,5,1
4021,180,1,4,6
401,10,1,3,12
1478,30,10,14,8
6465,30,10,10,5
4196,30,10,3,2
5485,10,1,2,9
6944,180,10,6,2
6114,180,1,3,3
3326,0,10,3,12
5139,75,100,10,2
3820,75,1,1,4
3530,30,1,4,13
7157,10,100,3,0
568,30,1,4,8
1401,10,10,12,9
7122,10,100,1,0
5898,50,1,1,6
4416,50,10,6,4
2586,30,100,3,1
6082,75,1,4,7
324,10,1,2,9
4805,30,100,12,5
7223,30,100,8,1
3642,50,1,4,11
6536,30,10,6,9
3447,10,1,2,9
6419,10,10,7,7
2484,30,100,8,1
7501,75,100,6,1
256,0,100,3,9
7675,180,100,3,0
6264,180,1,5,4
5435,0,10,1,6
4328,50,10,4,3
792,75,1,7,14
2073,180,10,4,1
7465,75,100,7,0
5653,30,1,1,7
5030,50,100,10,1
6235,180,1,3,5
1040,180,1,8,9
6801,75,10,15,4
6878,180,10,5,1
7134,10,100,6,1
2366,10,100,13,3
6769,75,10,10,3
5308,180,100,8,2
4351,50,10,2,1
2751,75,100,8,3
6370,10,10,8,8
6039,75,1,4,6
3497,30,1,6,13
2770,75,100,6,1
7238,30,100,4,0
5686,30,1,6,8
7599,180,100,4,1
1404,10,10,5,9
27,0,1,7,15
6432,30,10,12,4
3570,30,1,5,11
