Cell_id,Condition,Replica,Dex_Conc,Time_index,Time_TPL,Nuc_Area,Cyto_Area,Nuc_GR_avg_int,Cyto_GR_avg_int,Nuc_DUSP1_avg_int,Cyto_DUSP1_avg_int,RNA_DUSP1_nuc,RNA_DUSP1_cyto,DUSP1_ts_size_0,DUSP1_ts_size_1,DUSP1_ts_size_2,DUSP1_ts_size_3,normgrnuc,normgrcyt
121,GR_timesweep,A,0,0,NaN,3069,7456.00250045124,2204.47964,1926.61806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,10
122,GR_timesweep,A,0,0,NaN,8876,17253.8375055132,2066.42835,2205.12063,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,12
123,GR_timesweep,A,0,0,NaN,8806,17101.085543382,2793.54656,2487.13289,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,15
124,GR_timesweep,A,0,0,NaN,8188,15789.1841383898,2699.03163,2886.61418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,19
125,GR_timesweep,A,0,0,NaN,5997,11669.0345948898,1783.45523,1835.23333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,9
126,GR_timesweep,A,0,0,NaN,4367,9141.14215300758,1683.77925,1663.71027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7
127,GR_timesweep,A,0,0,NaN,4330,9089.0815318134,2122.83741,2276.43763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,13
128,GR_timesweep,A,0,0,NaN,8473,16385.9998529373,2000.49192,2305.28841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,13
129,GR_timesweep,A,0,0,NaN,9752,19236.9099880895,2640.32383,2497.04681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,15
130,GR_timesweep,A,0,0,NaN,7449,14306.9343279752,2252.86038,2402.96892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,14
131,GR_timesweep,A,0,0,NaN,8665,16795.9660376038,2964.21258,2756.62464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,18
132,GR_timesweep,A,0,0,NaN,6723,12942.5141357393,2706.81124,2849.99415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,19
133,GR_timesweep,A,0,0,NaN,7413,14237.1342061057,2324.04384,2484.21111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,15
134,GR_timesweep,A,0,0,NaN,8701,16873.5427932781,2940.60729,2843.69762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,19
135,GR_timesweep,A,0,0,NaN,9543,18751.7535221137,2459.24636,2231.22349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,13
136,GR_timesweep,A,0,0,NaN,7395,14202.3179986504,2527.77106,2901.99279,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,19
137,GR_timesweep,A,0,0,NaN,7257,13937.2509407809,2317.07317,2653.50802,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,17
138,GR_timesweep,A,0,0,NaN,12523,26381.6687441006,2916.99209,2563.09669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,16
139,GR_timesweep,A,0,0,NaN,8685,16839.0366291169,3197.07588,2706.18182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,17
140,GR_timesweep,A,0,0,NaN,12574,26525.5833802362,2920.84221,2697.57996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,17
141,GR_timesweep,A,0,0,NaN,2955,7321.88757125141,2538.39932,2655.91575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,17
142,GR_timesweep,A,0,0,NaN,10349,20664.2507975688,2917.12436,2491.11905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,15
143,GR_timesweep,A,0,0,NaN,9098,17743.8717449823,1648.57441,1836.18698,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,9
144,GR_timesweep,A,0,0,NaN,8255,15928.2281383769,1918.31835,1758.62556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,8
145,GR_timesweep,A,0,0,NaN,3534,8026.27687538403,2241.00255,1912.14379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,9
146,GR_timesweep,A,0,0,NaN,11168,22722.4080744274,2893.58838,2611.26506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,16
147,GR_timesweep,A,0,0,NaN,10994,22275.4619198649,2564.56685,2423.35093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,15
148,GR_timesweep,A,0,0,NaN,9228,18034.7764020413,2372.94766,2254.49022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,13
