Cell_id,Condition,Replica,Dex_Conc,Time_index,Time_TPL,Nuc_Area,Cyto_Area,Nuc_GR_avg_int,Cyto_GR_avg_int,Nuc_DUSP1_avg_int,Cyto_DUSP1_avg_int,RNA_DUSP1_nuc,RNA_DUSP1_cyto,DUSP1_ts_size_0,DUSP1_ts_size_1,DUSP1_ts_size_2,DUSP1_ts_size_3,tryptCond1,tryptCond2,tryptCond3,tryptCond4,tryptCond5
81,DUSP1_TPL,O,0.0,0,,7420,13260.0,,,1151.80283,1138.01908,9.0,20.0,,,,,1,2,3,4,5
82,DUSP1_TPL,O,0.0,0,,8520,16686.0,,,1306.19073,1284.21857,20.0,57.0,,,,,1,2,3,4,5
83,DUSP1_TPL,O,0.0,0,,7358,8929.0,,,1257.63958,1254.71688,20.0,45.0,,,,,1,2,3,4,5
84,DUSP1_TPL,O,0.0,0,,8680,14537.0,,,1133.66671,1169.22756,30.0,49.0,,,,,1,2,3,4,5
85,DUSP1_TPL,O,0.0,0,,8466,10611.0,,,1165.30156,1179.59118,41.0,62.0,,,,,1,2,3,4,5
86,DUSP1_TPL,O,0.0,0,,7150,5864.0,,,1030.65664,1007.17497,12.0,10.0,,,,,1,2,3,4,5
87,DUSP1_TPL,O,0.0,0,,7094,6319.0,,,1277.34776,1314.23026,36.0,77.0,,,,,1,2,3,4,5
88,DUSP1_TPL,O,0.0,0,,7700,9376.0,,,1139.77286,1134.60847,26.0,37.0,,,,,1,2,3,4,5
89,DUSP1_TPL,O,0.0,0,,7055,9948.0,,,1386.47399,1389.55107,36.0,75.0,,,,,1,2,3,4,5
90,DUSP1_TPL,O,0.0,0,,8437,12716.0,,,1373.65675,1340.86749,39.0,71.0,,,,,1,2,3,4,5
91,DUSP1_TPL,O,0.0,0,,7604,15971.0,,,1341.6277,1302.71048,48.0,112.0,,,,,1,2,3,4,5
92,DUSP1_TPL,O,0.0,0,,6545,12895.0,,,1338.82521,1274.45064,29.0,65.0,,,,,1,2,3,4,5
93,DUSP1_TPL,O,0.0,0,,8045,9859.0,,,1106.58272,1100.53099,19.0,54.0,,,,,1,2,3,4,5
94,DUSP1_TPL,O,0.0,0,,6839,4932.0,,,1010.53473,1034.4043,12.0,33.0,,,,,1,2,3,4,5
