nucGRint,cytoGRint,time,dex_conc,unique_cell_id,normGRcyt,normGRnuc
3940.469569946704,1251.8582856066296,180,10,1716,3,11
4495.97193004384,1292.9736505275555,180,10,1717,3,14
5840.991484404524,1305.9658481061003,180,10,1718,3,22
5591.248919220956,1261.61950809861,180,10,1722,3,20
5410.960072013187,1369.344118217678,180,10,1724,4,19
4982.517609162151,1323.4619527283794,180,10,1727,3,17
5207.78199179378,1299.5327672394562,180,10,1729,3,18
5441.22581666916,1271.4695284694492,180,10,1730,3,19
5248.135405417547,1287.3049060765986,180,10,1731,3,18
5728.343068818012,1313.3757385617012,180,10,1732,3,21
4020.5904673232935,1351.5855607544052,180,10,1733,4,12
4591.404532199835,1367.8550263129262,180,10,1734,4,15
4804.700613476859,1323.015270122783,180,10,1735,3,16
5778.586370155386,1387.817186526672,180,10,1736,4,21
5758.020654361448,1390.0426663061746,180,10,1738,4,21
4640.89879644421,1273.7452738859322,180,10,1741,3,15
4847.047530495076,1344.1960810724258,180,10,1742,3,16
4499.119130904018,1821.2365913830135,50,10,3900,8,14
5817.245798778007,1965.621269380071,50,10,3901,10,21
7360.956231305805,2458.811377306496,50,10,3903,14,30
5910.342540272548,1991.3132698667223,50,10,3905,10,22
6174.371039330217,2539.0252360619625,50,10,3909,15,23
5634.701530646472,2027.7460543024245,50,10,3911,10,21
6412.0093954506765,2006.868340937032,50,10,3918,10,25
6013.628095701716,2125.437751309083,50,10,3920,11,23
4253.191784796005,1707.6868293599127,50,10,3921,7,13
6287.351008822809,2136.333474269497,50,10,3923,11,24
5588.371054666365,1829.7531104812604,50,10,3924,8,20
5754.813408020216,1800.239475008634,50,10,3926,8,21
5491.940780759338,1793.019977105824,50,10,3927,8,20
5086.218021672509,1867.9711078942053,50,10,3928,9,18
5188.096572988731,1856.7182453516305,50,10,3933,8,18
4581.627598958277,1734.3171989127436,50,10,3935,7,15
7434.616375956993,2514.889742472617,50,10,3936,15,30
5892.84472225932,1948.633396721996,50,10,3937,9,22
6816.97023241883,2178.559796385872,50,10,3938,12,27
5204.800509220164,1834.6890571960291,50,10,3940,8,18
4816.310450745151,1802.410511245488,50,10,3941,8,16
4659.077444715629,1789.5789786311936,50,10,3944,8,15
5564.597166890298,1917.3379891546697,50,10,3945,9,20
4825.069840869345,1867.8767021626516,50,10,3952,9,16
5512.673065609535,1847.4663724271647,50,10,3957,8,20
6111.268084867809,1967.678053190301,50,10,3959,10,23
5706.612916681818,1840.3364828057763,50,10,3960,8,21
5737.405010359799,1957.6543490695085,50,10,3962,9,21
5303.36338142193,1682.038598772922,50,10,3963,7,19
5786.676845473232,2052.0738720707905,50,10,3964,10,21
4736.280400628692,1777.315687481145,50,10,3968,8,16
5656.62947765519,1998.0582414402857,50,10,3974,10,21
5912.240092494916,1890.3646956355483,50,10,3975,9,22
5106.101704784761,1780.0876700032752,50,10,3978,8,18
4694.926653143762,1808.7359147689383,50,10,3980,8,15
5199.438806171591,1859.6676847937345,50,10,3985,8,18
6379.056476283627,1886.9748951874687,50,10,3986,9,24
4008.755485374009,1618.450180620063,50,10,3988,6,12
5517.684999390206,1804.0329862061824,50,10,3989,8,20
5816.446758587595,1991.559432870891,50,10,3991,10,21
5661.177547695141,1985.18338258443,50,10,3992,10,21
3939.233971739391,1603.1135268413325,50,10,3996,6,11
5220.477617830172,1842.1549569335848,50,10,3997,8,18
4922.055450856247,1798.003683145825,50,10,3998,8,17
6179.549114978817,1959.6109374071848,50,10,3999,9,23
4797.989803035746,1693.6132919895006,50,10,4000,7,16
5401.824158572671,1769.278514523175,50,10,4004,8,19
5189.500953564154,1820.462212743345,50,10,4005,8,18
4571.458759650634,1698.1241160895931,50,10,4007,7,15
4937.205220930823,1783.1130497516876,50,10,4008,8,17
5700.531343335623,1870.405449992458,50,10,4010,9,21
5768.353540948343,1859.9698420442635,50,10,4012,8,21
4637.1347511880485,1897.0250855104748,50,10,4015,9,15
5307.515352632448,1789.8105284815258,50,10,4016,8,19
5353.248356218351,1811.93064363566,50,10,4017,8,19
6365.9022086839705,1821.865828929484,50,10,4018,8,24
6018.295991942415,1840.7772659662885,50,10,4020,8,23
6161.5469484558,1944.3461143708407,50,10,4021,9,23
7007.22687087359,1995.347380475506,50,10,4022,10,28
5584.609652614461,1818.174592984372,50,10,4024,8,20
6244.514936959359,1943.2364075360576,50,10,4025,9,24
6258.8159869304445,2052.85670473229,50,10,4026,10,24
3981.058236199737,1604.0976839924026,50,10,4027,6,12
6002.78510520736,1798.8590265992566,50,10,4028,8,22
4232.607676168325,1642.4361869377854,50,10,4030,6,13
6005.768211950101,1870.4578402531704,50,10,4031,9,22
5063.10622904869,1700.742099138617,50,10,4034,7,17
5678.378498001984,1942.8923521165812,50,10,4035,9,21
5368.834380139818,1985.761586142172,50,10,4040,10,19
5146.422736961229,1895.4897772391253,50,10,4041,9,18
6046.127597585572,2001.2345139253591,50,10,4043,10,23
5323.031228243682,1854.434541612596,50,10,4045,8,19
5792.173253603924,1752.309182784678,50,10,4046,7,21
4283.103068114774,1565.5527077569263,50,10,4047,6,13
4893.183020025222,1712.366489652371,50,10,4048,7,17
5295.365190635134,1659.513588785792,50,10,4049,7,19
5433.44440245938,1760.428550520738,50,10,4050,8,19
5797.910827553451,1747.7555696999846,50,10,4053,7,21
4627.328292298297,1711.6049109221435,50,10,4056,7,15
5714.112258303498,1811.374823272296,50,10,4057,8,21
5568.343070469729,1953.8747762352864,50,10,4060,9,20
5150.84521705616,1654.317248293302,50,10,4061,7,18
4625.6850155127,1741.433989189089,50,10,4062,7,15
5201.321359754512,1640.3527536173851,50,10,4063,6,18
4006.562853924679,1601.0720841812674,50,10,4066,6,12
4781.018125006255,1736.4182066085643,50,10,4069,7,16
5399.155424467501,1769.75399794434,50,10,4071,8,19
4657.548203084126,1661.9210231003576,50,10,4072,7,15
5644.616363858613,1814.411488344488,50,10,4073,8,21
4479.297729423957,1857.0211232108625,50,10,4074,8,14
4649.125437713423,1874.0120638047365,50,10,4077,9,15
4571.064467218803,1790.499402903295,50,10,4082,8,15
5158.922243816973,1848.818069080681,50,10,4083,8,18
4733.6082988371245,1716.6229821103573,50,10,4085,7,16
4936.635076795346,1640.3686948833054,50,10,4087,6,17
3724.7471190438414,1623.588425250056,50,10,4088,6,10
4186.457948941556,1671.8978819835977,50,10,4089,7,13
4854.165020368891,1624.8501662758051,50,10,4090,6,16
5813.454919806063,1960.646190122069,50,10,4091,9,21
5197.6502661333125,1862.30217414942,50,10,4092,9,18
3785.9485474056023,1618.2444195150374,50,10,4095,6,11
4234.855625783487,1579.9460652639573,50,10,4098,6,13
4125.256243978461,1684.5191522840726,50,10,4100,7,12
4066.828552510423,1581.0097901600818,50,10,4101,6,12
4407.85051214946,1648.7404459278305,50,10,4102,6,14
4527.292337745842,1669.0851828750056,50,10,4103,7,15
4320.252457964978,1562.5498195664986,50,10,4104,6,13
6583.712954654298,1930.4890976672316,50,10,4106,9,26
5956.015459331599,1875.8870548072343,50,10,4107,9,22
4758.557731010362,2481.187484632319,30,10,4109,15,16
5292.636753025854,2427.727631671499,30,10,4110,14,19
5894.597966079366,2476.8206090260155,30,10,4112,14,22
4815.656552724501,2269.740647115406,30,10,4117,12,16
6182.658810197741,2529.984116905814,30,10,4118,15,23
4359.713717376154,2462.385630312798,30,10,4119,14,14
4241.650302271601,2124.872289222169,30,10,4120,11,13
5144.094859464736,2105.175826945104,30,10,4123,11,18
4130.502605671095,1968.7353336095207,30,10,4125,10,12
5355.636302285723,2352.6661188216344,30,10,4128,13,19
4442.17583798995,2145.273157644021,30,10,4132,11,14
5030.148015181683,2240.017323411954,30,10,4133,12,17
5124.916776007387,2242.723166563392,30,10,4134,12,18
5528.171378660274,2326.418420326044,30,10,4136,13,20
4086.538928654619,2080.365955712972,30,10,4140,11,12
5929.098087887078,2282.8938205894,30,10,4141,13,22
4329.888424961655,1976.4901999896708,30,10,4143,10,14
5852.594815950436,2444.3431491781425,30,10,4144,14,22
4191.619153185401,1944.832320612584,30,10,4148,9,13
4157.98638221211,1930.2916098077333,30,10,4153,9,13
4830.0016295379455,2221.5707207230103,30,10,4154,12,16
5106.025938515024,2361.280568238855,30,10,4155,13,18
5155.725161871642,2301.478536996553,30,10,4156,13,18
5099.580869772709,2137.873038405603,30,10,4158,11,18
4859.578295421933,2236.7516599935007,30,10,4159,12,16
4415.7217774335095,2359.879709675637,30,10,4162,13,14
